Date,Close,High,Low,Open,Volume
2019-06-28,557.2333984,570.4627527,555.2545225,567.9058042,18942165
2019-07-01,564.2372437,565.9269944,554.2763106,559.434616,13478857
2019-07-02,568.5283203,569.6400576,561.7691402,566.5050367,10146746
2019-07-03,570.3292847,572.085825,566.9941913,570.4849493,8806492
2019-07-04,570.9740601,574.086877,569.195316,569.817915,9351405
2019-07-05,561.7913818,573.8645913,560.3017036,571.463248,10926753
2019-07-08,556.7664795,563.9036603,555.0544656,559.4123623,14009219
2019-07-09,569.2397461,570.7516874,553.8537087,555.3878539,17535754
2019-07-10,568.68396,573.353126,564.1703992,569.2175654,12018196
2019-07-11,569.8846436,573.5533296,568.8841036,572.3081908,8608376
2019-07-12,569.4177856,578.0891122,568.3282521,570.5294637,15692436
2019-07-15,567.4610596,573.4197717,564.9041114,571.4186922,10659498
2019-07-16,574.9761963,575.8211309,567.8834835,569.1730892,10070773
2019-07-17,570.0180664,576.7550435,569.1953949,575.5543718,9482233
2019-07-18,561.1243896,572.0413948,559.4123757,570.0847821,11942908
2019-07-19,555.4100952,566.060236,552.6085483,563.9480184,16336536
2019-07-22,569.4177856,571.1964706,545.7605634,556.2995686,29092589
2019-07-23,566.3272095,575.3764766,560.4795751,571.418784,20316348
2019-07-24,559.9015503,568.6618115,557.4335358,566.3049945,15189179
2019-07-25,547.6281738,564.3260813,545.6270941,562.0804028,21805071
2019-07-26,539.7572021,552.51962,538.0673925,547.6281187,20387504
2019-07-29,538.4898682,543.4036327,535.8884529,541.1357505,17626045
2019-07-30,525.1271973,542.514376,522.9260451,539.8240261,20853117
2019-07-31,518.6125488,526.9503408,516.9004758,522.8370436,21229950
2019-08-01,524.8382568,528.3734825,511.5421703,517.3452788,22628222
2019-08-02,529.8225708,536.0407802,519.8689803,525.9529876,23766807
2019-08-05,511.4811707,522.0610383,504.6142875,522.0610383,30399133
2019-08-06,504.7484436,514.2770904,501.93014,507.6338781,29067994
2019-08-07,496.2935181,509.3338769,493.4751844,503.9432766,25349369
2019-08-08,515.5073242,518.0348268,489.9858132,495.8237535,31198568
2019-08-09,519.8690186,525.8635583,515.4849638,519.7572133,21970009
2019-08-13,570.2633057,582.8115292,548.4548396,551.6534122,104827144
2019-08-14,576.3026733,583.5497664,572.768565,583.3484931,31688983
2019-08-16,571.7172852,577.8907613,569.4805236,577.6223571,21977767
2019-08-19,578.2485352,580.1274241,572.6118684,573.0816056,16317602
2019-08-20,570.8002319,578.2486583,569.3016118,576.9961052,14969299
2019-08-21,568.5634155,572.0080556,566.5727212,570.6659748,10677848
2019-08-22,557.7374878,568.5857598,554.2257765,568.5634227,14031953
2019-08-23,570.7554321,574.4013454,548.6785598,554.2704931,21307915
2019-08-26,566.7069092,578.8748646,563.2175352,578.8748646,19202504
2019-08-27,570.3080444,574.848638,564.2016404,574.848638,28401906
2019-08-28,565.1411133,573.0592753,561.8978066,569.8159686,11605488
2019-08-29,555.5007935,563.7768297,552.6153583,562.0768765,18890222
2019-08-30,558.5427246,561.1597553,546.2181692,557.1783066,24735240
2019-09-03,539.6868286,556.0599639,536.8237308,555.7244287,18730619
2019-09-04,537.3380737,539.1722285,530.5830566,537.0696696,32949395
2019-09-05,536.1973267,542.7286736,533.8263636,539.8656363,22995486
2019-09-06,546.8890991,549.7969305,534.6987476,538.1657245,23186819
2019-09-09,546.7549438,551.5863389,542.7064242,546.0615365,11747929
2019-09-11,552.2127075,554.7178733,546.8891781,546.8891781,12127900
2019-09-12,541.4537964,554.9190984,539.373634,552.4810638,11880005
2019-09-13,548.276001,549.573288,539.9104972,542.1919928,12947715
2019-09-16,541.6326904,545.3680714,530.6054239,531.9027704,20547730
2019-09-17,535.6829834,541.7446544,533.9159591,541.7446544,15640772
2019-09-18,539.3737183,544.1156459,535.5712055,539.0381831,14933909
2019-09-19,527.4516602,541.1630301,524.5886222,540.3354206,13766222
2019-09-20,561.1373291,568.0936804,525.3267496,531.4330945,48165560
2019-09-23,554.3600464,573.0594125,552.481157,569.9950412,21610844
2019-09-24,572.0303955,581.0221752,555.9480624,556.3283316,34958974
2019-09-25,572.4106445,579.3222616,567.6239836,574.4013388,18192270
2019-09-26,580.1274414,581.022122,574.1776363,577.9801483,18350457
2019-09-27,585.6074829,588.2692471,574.4012805,578.2037923,19058663
