"Date","Price","Open","High","Low","Vol.","Change %"
"30-05-2017","305.63","304.85","306.83","303.19","8.91M","0.18%"
"29-05-2017","305.08","300.60","307.00","300.29","22.17M","1.47%"
"26-05-2017","300.67","293.17","302.27","292.28","19.78M","2.68%"
"25-05-2017","292.83","292.28","295.07","291.49","23.93M","0.36%"
"24-05-2017","291.77","293.97","295.36","291.18","13.22M","-0.60%"
"23-05-2017","293.53","298.06","298.99","292.73","8.51M","-1.40%"
"22-05-2017","297.71","298.24","299.84","295.70","8.12M","0.40%"
"19-05-2017","296.52","299.70","300.31","294.53","11.83M","-0.64%"
"18-05-2017","298.43","301.33","303.53","297.70","9.04M","-1.90%"
"17-05-2017","304.22","304.20","307.11","303.02","9.09M","-0.24%"
"16-05-2017","304.94","302.64","309.57","301.50","11.68M","0.91%"
"15-05-2017","302.20","304.96","304.96","299.82","6.22M","-0.47%"
"12-05-2017","303.63","305.78","306.67","302.19","6.94M","-0.67%"
"11-05-2017","305.67","306.70","307.97","303.90","12.72M","0.03%"
"10-05-2017","305.57","300.11","306.58","299.17","21.14M","2.16%"
"09-05-2017","299.11","297.68","299.85","296.84","19.48M","0.68%"
"08-05-2017","297.10","299.03","301.16","296.41","14.83M","-0.52%"
"05-05-2017","298.64","306.13","307.43","297.90","14.40M","-2.18%"
"04-05-2017","305.31","309.15","310.18","304.44","13.26M","-0.89%"
"03-05-2017","308.04","309.57","310.44","306.90","8.77M","-0.04%"
"02-05-2017","308.15","315.22","315.22","307.19","17.16M","-1.77%"
"28-04-2017","313.69","316.96","319.33","312.74","10.94M","-1.01%"
"27-04-2017","316.90","318.59","320.20","315.26","11.60M","-0.49%"
"26-04-2017","318.47","322.64","323.77","315.35","15.47M","-1.14%"
"25-04-2017","322.14","328.26","330.00","320.64","33.93M","1.09%"
"24-04-2017","318.68","316.80","322.64","314.81","23.55M","1.06%"
"21-04-2017","315.33","310.38","319.49","309.94","27.90M","2.41%"
"20-04-2017","307.92","310.05","311.80","306.70","7.75M","0.06%"
"19-04-2017","307.75","307.80","310.84","305.22","10.68M","-0.10%"
"18-04-2017","308.07","314.76","317.02","307.35","14.78M","-1.55%"
"17-04-2017","312.93","306.90","313.77","306.90","10.93M","1.98%"
"13-04-2017","306.85","304.42","308.79","302.93","11.73M","0.80%"
"12-04-2017","304.42","310.90","311.72","303.78","25.33M","-1.34%"
"11-04-2017","308.55","312.04","314.87","308.04","29.77M","-0.65%"
"10-04-2017","310.57","317.02","320.37","309.66","28.40M","-1.80%"
"07-04-2017","316.25","319.56","322.41","315.34","29.42M","-2.22%"
"06-04-2017","323.42","316.79","325.76","315.26","46.72M","1.66%"
"05-04-2017","318.14","313.69","318.81","310.29","37.22M","2.93%"
"03-04-2017","309.07","301.73","310.38","300.61","41.43M","4.07%"
"31-03-2017","296.98","284.64","300.75","284.64","41.90M","3.96%"
"30-03-2017","285.68","282.17","286.61","281.72","25.72M","1.11%"
"29-03-2017","282.54","281.42","283.29","277.30","17.47M","0.87%"
"28-03-2017","280.09","282.84","284.19","279.27","20.04M","-0.43%"
"27-03-2017","281.29","285.79","287.51","280.41","29.95M","-2.77%"
"24-03-2017","289.30","286.46","290.48","285.19","15.03M","1.05%"
"23-03-2017","286.28","284.00","287.24","282.84","10.90M","1.08%"
"22-03-2017","283.22","281.49","284.62","280.27","18.73M","-0.32%"
"21-03-2017","284.14","288.28","288.66","283.13","20.86M","-1.33%"
"20-03-2017","287.97","293.63","293.69","287.42","11.88M","-1.53%"
"17-03-2017","292.44","294.08","296.77","291.85","20.98M","0.23%"
