Date,Price,Open,High,Low,Vol.,Change %,Target
2016-07-20,230.0,229.32,231.2,228.55,11320000.0,0.51,0
2016-07-21,226.26,230.23,230.45,225.96,6190000.0,-1.63,1
2016-07-22,228.17,226.18,228.84,225.98,6370000.0,0.84,1
2016-07-25,229.95,227.98,230.17,226.49,7610000.0,0.78,1
2016-07-26,230.24,230.0,232.66,228.25,9710000.0,0.13,0
2016-07-27,227.78,230.02,230.68,226.85,10180000.0,-1.07,1
2016-07-28,230.76,228.19,231.69,227.77,14410000.0,1.31,0
2016-07-29,228.18,230.23,230.43,227.53,8890000.0,-1.12,0
2016-08-01,226.97,228.88,229.4,225.97,7360000.0,-0.53,1
2016-08-02,227.71,226.63,229.33,226.25,7120000.0,0.33,0
2016-08-03,223.47,228.07,228.07,222.92,10960000.0,-1.86,0
2016-08-04,223.26,224.61,224.83,221.1,9400000.0,-0.09,1
2016-08-05,228.49,224.38,229.11,224.17,11180000.0,2.34,1
2016-08-08,231.41,229.31,232.48,229.03,12510000.0,1.28,1
2016-08-09,231.74,230.9,232.59,229.56,12270000.0,0.14,0
2016-08-10,225.65,231.86,232.6,225.28,12430000.0,-2.63,1
