Price,Open,High,Low,Vol.,Change %,Target
209.1,210.75,211.5,208.12,16950000.0,-0.45,1
211.44,208.66,212.24,208.66,11340000.0,1.12,1
213.86,213.56,214.22,211.6,8530000.0,1.14,0
212.88,213.59,214.13,212.27,13100000.0,-0.46,1
219.15,213.38,219.64,213.31,12370000.0,2.95,0
217.8,219.53,220.67,216.96,8890000.0,-0.62,0
215.36,217.86,218.76,215.05,21540000.0,-1.12,0
214.4,215.38,217.21,214.0,8350000.0,-0.45,1
215.0,214.6,215.2,212.49,9460000.0,0.28,1
215.76,215.84,216.49,214.91,7980000.0,0.35,0
214.67,216.07,216.51,214.17,8010000.0,-0.51,1
214.73,215.22,216.05,213.95,17490000.0,0.03,0
214.51,215.39,215.39,213.4,11200000.0,-0.1,1
218.35,215.84,219.54,214.99,14440000.0,1.79,1
219.59,218.99,221.33,217.71,15060000.0,0.57,1
220.58,218.07,221.11,216.53,9430000.0,0.45,0
219.49,220.55,221.55,217.93,10080000.0,-0.49,1
221.37,220.34,221.8,218.93,10270000.0,0.86,0
219.5,220.56,221.16,217.43,8650000.0,-0.84,0
219.19,219.66,220.03,218.11,9720000.0,-0.14,1
222.63,218.57,223.17,217.64,9930000.0,1.57,0
221.93,223.51,223.52,220.27,12860000.0,-0.31,0
220.45,221.46,221.66,219.68,11800000.0,-0.67,0
220.44,220.33,220.79,218.09,9080000.0,0.0,0
213.92,216.94,216.94,209.86,23060000.0,-2.96,1
214.86,211.46,215.48,211.46,8460000.0,0.44,1
215.35,215.03,216.19,214.72,7020000.0,0.23,1
217.39,216.29,217.85,215.84,6940000.0,0.95,1
217.9,218.54,219.77,217.43,11780000.0,0.23,1
218.86,218.71,219.62,218.09,6100000.0,0.44,1
221.84,219.33,223.39,219.33,7200000.0,1.36,1
223.28,221.71,225.49,220.4,10490000.0,0.65,0
222.11,223.15,224.95,221.72,11100000.0,-0.52,0
219.98,221.91,222.36,219.52,6590000.0,-0.96,1
223.15,222.81,223.7,221.57,7630000.0,1.44,1
225.6,223.77,225.96,222.81,9020000.0,1.1,1
226.8,226.0,228.59,225.77,13770000.0,0.53,0
225.94,226.65,228.0,224.44,9930000.0,-0.38,1
